,date,person_id,pm_id_0,pm_id_1,pm_id_2,pm_id_3,belongs_to_datasets,count_belongs_to_datasets
136,2019-05-20,1,309157.0,,,,0,1
137,2019-05-21,1,309157.0,,,,0,1
138,2019-05-22,1,309157.0,,,,0,1
139,2019-05-23,1,309157.0,,,,0,1
140,2019-05-24,1,309157.0,,,,0,1
141,2019-05-25,1,309157.0,,,,0,1
142,2019-05-26,1,309157.0,,,,0,1
143,2019-05-27,1,309157.0,,,,0,1
144,2019-05-28,1,309157.0,,,,0,1
145,2019-05-29,1,309157.0,,,,0,1
146,2019-05-30,1,309157.0,,,,0,1
147,2019-05-31,1,309157.0,,,,0,1
148,2019-06-01,1,309157.0,,,,0,1
149,2019-06-02,1,309157.0,,,,0,1
150,2019-06-03,1,309157.0,,,,0,1
151,2019-06-04,1,309157.0,,,,0,1
152,2019-06-05,1,309157.0,,,,0,1
153,2019-06-06,1,309157.0,,,,0,1
154,2019-06-07,1,309157.0,,,,0,1
155,2019-06-08,1,309157.0,,,,0,1
156,2019-06-09,1,309157.0,,,,0,1
157,2019-06-10,1,309157.0,,,,0,1
158,2019-06-11,1,309157.0,,,,0,1
159,2019-06-12,1,309157.0,,,,0,1
160,2019-06-13,1,309157.0,,,,0,1
161,2019-06-14,1,309157.0,,,,0,1
162,2019-06-15,1,309157.0,,,,0,1
163,2019-06-16,1,309157.0,,,,0,1
164,2019-06-17,1,309157.0,,,,0,1
165,2019-06-18,1,309157.0,,,,0,1
166,2019-06-19,1,309157.0,,,,0,1
167,2019-06-20,1,309157.0,,,,0,1
168,2019-06-21,1,309157.0,,,,0,1
169,2019-06-22,1,309157.0,,,,0,1
170,2019-06-23,1,309157.0,,,,0,1
171,2019-06-24,1,309157.0,,,,0,1
172,2019-06-25,1,309157.0,,,,0,1
173,2019-06-26,1,309157.0,,,,0,1
174,2019-06-27,1,309157.0,,,,0,1
175,2019-06-28,1,309157.0,,,,0,1
176,2019-06-29,1,309157.0,,,,0,1
177,2019-06-30,1,309157.0,,,,0,1
178,2019-07-01,1,309157.0,,,,0,1
179,2019-07-02,1,309157.0,,,,0,1
180,2019-07-03,1,309157.0,,,,0,1
181,2019-07-04,1,309157.0,,,,0,1
182,2019-07-05,1,309157.0,,,,0,1
183,2019-07-06,1,309157.0,,,,0,1
184,2019-07-07,1,309157.0,,,,0,1
185,2019-07-08,1,309157.0,,,,0,1
186,2019-07-09,1,309157.0,,,,0,1
187,2019-07-10,1,309157.0,,,,0,1
188,2019-07-11,1,309157.0,,,,0,1
189,2019-07-12,1,309157.0,,,,0,1
190,2019-07-13,1,309157.0,,,,0,1
191,2019-07-14,1,309157.0,,,,0,1
192,2019-07-15,1,309157.0,,,,0,1
193,2019-07-16,1,309157.0,,,,0,1
194,2019-07-17,1,309157.0,,,,0,1
195,2019-07-18,1,309157.0,,,,0,1
196,2019-07-19,1,309157.0,,,,0,1
197,2019-07-20,1,309157.0,,,,0,1
198,2019-07-21,1,309157.0,,,,0,1
199,2019-07-22,1,309157.0,,,,0,1
200,2019-07-23,1,309157.0,,,,0,1
201,2019-07-24,1,309157.0,,,,0,1
202,2019-07-25,1,309157.0,,,,0,1
203,2019-07-26,1,309157.0,,,,0,1
204,2019-07-27,1,309157.0,,,,0,1
205,2019-07-28,1,309157.0,,,,0,1
206,2019-07-29,1,309157.0,,,,0,1
207,2019-07-30,1,309157.0,,,,0,1
208,2019-07-31,1,309157.0,,,,0,1
209,2019-08-01,1,309157.0,,,,0,1
210,2019-08-02,1,309157.0,,,,0,1
211,2019-08-03,1,309157.0,,,,0,1
212,2019-08-04,1,309157.0,,,,0,1
213,2019-08-05,1,309157.0,,,,0,1
214,2019-08-06,1,309157.0,,,,0,1
215,2019-08-07,1,309157.0,,,,0,1
216,2019-08-08,1,309157.0,,,,0,1
217,2019-08-09,1,309157.0,,,,0,1
218,2019-08-10,1,309157.0,,,,0,1
219,2019-08-11,1,309157.0,,,,0,1
220,2019-08-12,1,309157.0,,,,0,1
221,2019-08-13,1,309157.0,,,,0,1
222,2019-08-14,1,309157.0,,,,0,1
223,2019-08-15,1,309157.0,,,,0,1
224,2019-08-16,1,309157.0,,,,0,1
225,2019-08-17,1,309157.0,,,,0,1
226,2019-08-18,1,309157.0,,,,0,1
227,2019-08-19,1,309157.0,,,,0,1
228,2019-08-20,1,309157.0,,,,0,1
229,2019-08-21,1,309157.0,,,,0,1
230,2019-08-22,1,309157.0,,,,0,1
231,2019-08-23,1,309157.0,,,,0,1
232,2019-08-24,1,309157.0,,,,0,1
